"","Bromeliad","Distance","Bearing","Ref_Flag_x","Ref_Flag_y","DO","Temp","PAR","Detritus","Water","Full_Sun","Depth","Width","Volume","Tad_Count","Pool_ID","PercPAR","logPAR","YNGoop","YNTad","L_H","Goop_Cat","Goop_Count"
"20","3",1.9,332,22.5,12.5,6.5,25,25,"Mid","Clear",350,15,12,200,0,46,7.14285714285714,1.96611285637283,0,0,"Low","None",0
"21","3",1.9,334,22.5,12.5,5.2,25,5,"Low","Clear",352,13,12,160,0,47,1.42045454545455,0.350976922824095,0,0,"Low","None",0
"22","3",1.9,331,22.5,12.5,5.2,25.3,38,"High","Turbid",278,15,13,180,0,48,13.6690647482014,2.61513523202384,1,0,"Low","Low",1
"23","3",2.05,334,22.5,12.5,6.6,25.3,20,"None","Clear",277,14,13,240,0,49,7.22021660649819,1.97688495335474,0,0,"Middle","None",0
"24","3",2,333,22.5,12.5,4.4,26,44,"None","Clear",230,16,12,560,0,51,19.1304347826087,2.95128051098316,1,0,"Middle","Medium",2
"25","3",2.1,330,22.5,12.5,5.3,25.3,24,"Mid","Turbid",209,14,14,520,0,52,11.4832535885167,2.44088976437123,1,0,"Low","Medium",2
"26","3",1.95,332,22.5,12.5,5.7,25.7,34,"Low","Clear",244,15,11,260,1,53,13.9344262295082,2.63436248531105,0,1,"Middle","None",0
"27","3",1.9,333,22.5,12.5,5.8,25.5,46,"Mid","Turbid",350,15,11,300,0,55,13.1428571428571,2.57587842799373,0,0,"Low","None",0
"28","3",1.95,330,22.5,12.5,5.4,25.7,48,"None","Clear",369,14,12,360,0,56,13.0081300813008,2.56557455285546,1,0,"Low","Low",1
"29","3",2.1,331,22.5,12.5,5.5,25.6,52,"None","Turbid",396,14,12,280,0,57,13.1313131313131,2.57499969331504,1,0,"Middle","Medium",2
"30","3",2,332,22.5,12.5,3.4,25.8,92,"None","Turbid",433,13,8,280,0,58,21.2471131639723,3.05622103503464,1,0,"High","Medium",2
"31","3",2.1,332,22.5,12.5,4.8,26,106,"None","Clear",408,13,8,360,1,59,25.9803921568627,3.257342105696,0,1,"High","None",0
"32","3",2.1,333,22.5,12.5,3.7,25.8,77,"None","Turbid",590,16,10,440,0,60,13.0508474576271,2.56885307094201,1,0,"Middle","High",3
"33","3",2.05,332,22.5,12.5,4.8,26.2,82,"None","Turbid",354,12,6,200,0,61,23.1638418079096,3.14259252011857,1,0,"High","High",3
"34","4",0.5,346,20,5,6.3,28,290,"Low","Clear",1720,12,12,320,0,63,16.8604651162791,2.82497153916111,0,0,"Low","None",0
"35","4",0.4,20,20,5,6.6,26.3,40,"Low","Clear",1380,14,12,480,0,64,2.89855072463768,1.06421086195078,0,0,"Low","None",0
"36","4",0.5,333,20,5,5.9,26.6,84,"Low","Clear",1460,12,13,400,0,65,5.75342465753425,1.74979527012902,0,0,"Low","None",0
"37","4",0.45,22,20,5,5.5,25.8,46,"Low","Clear",1600,12,12,280,0,66,2.875,1.05605267424931,0,0,"Low","None",0
"38","4",0.45,335,20,5,7.7,28.2,300,"Low","Clear",1500,16,12,440,0,67,20,2.99573227355399,0,0,"Middle","None",0
"39","4",0.3,20,20,5,6.4,27.1,71,"Low","Clear",870,18,10,480,0,68,8.16091954022989,2.09935685138078,0,0,"Middle","None",0
"40","4",0.4,328,20,5,5.7,27.1,32,"Mid","Clear",1600,12,12,440,0,69,2,0.693147180559945,0,0,"Low","None",0
"41","4",0.3,22,20,5,4,26.3,15,"Low","Clear",1490,12,12,440,0,70,1.00671140939597,0.00668898815079649,0,0,"Low","None",0
"42","4",0.5,2,20,5,8,28.8,1400,"Low","Clear",1440,20,11,720,1,71,97.2222222222222,4.57699930902139,0,1,"Middle","None",0
"43","4",0.25,2,20,5,5.3,27.3,20,"Low","Clear",390,15,12,400,0,72,5.12820512820513,1.63475572041839,0,0,"Low","None",0
